f	m	p	d	mean	sd
0.6	1	5	5	6.16	5.300415078085866
0.6	2	3	1	10.04	2.778200856669654
0.6	2	3	2	8.58	2.4987196721521205
0.6	2	3	3	8.1	2.9274562336608896
0.6	2	3	4	7.82	2.3297210133404387
0.6	2	3	5	7.98	2.6494527736874267
0.6	2	4	1	19.24	7.173729852733515
0.6	2	4	2	35.78	9.857565622403941
0.6	2	4	3	10.94	5.197730273879166
0.6	2	4	4	10.42	6.8237526332656575
0.6	2	4	5	10.9	6.155485358604957
0.6	2	5	1	17.2	7.391887445030531
0.6	2	5	2	144.12	24.057131998640237
0.6	2	5	3	41.34	13.082216937507189
0.6	2	5	4	10.68	7.864960266905358
0.6	2	5	5	8.16	5.756248778501499
0.6	3	3	1	1.04	0.893532316147547
0.6	3	3	2	1.08	0.9558242516278815
0.6	3	3	3	0.96	1.0947145746723206
0.6	3	3	4	0.96	1.0947145746723208
0.6	3	3	5	0.8	1.077032961426901
0.6	3	4	1	1.16	1.3016912076218383
0.6	3	4	2	5.96	2.3660938273872407
0.6	3	4	3	5.18	2.2062638101550776
0.6	3	4	4	5.5	2.29128784747792
0.6	3	4	5	5.36	2.1886982432487123
0.6	3	5	1	1.5	1.5524174696260025
0.6	3	5	2	8.48	3.869056732589999
0.6	3	5	3	27.44	5.448522735567871
0.6	3	5	4	11.74	6.83172013478304
0.6	3	5	5	11.34	6.227712260533559
0.7	1	3	1	23.34	9.955119286075883
0.7	1	3	2	7.58	5.157867776513857
0.7	1	3	3	6.28	4.968057970676267
0.7	1	3	4	6.2	4.317406628984581
