f	m	p	d	mean	sd
0.7	1	4	5	2.36	0.7144228439796702
0.7	1	5	1	0.0	0.0
0.7	1	5	2	0.04	0.19595917942265428
0.7	1	5	3	1.22	0.7291090453423275
0.7	1	5	4	2.2	0.848528137423857
0.7	1	5	5	2.36	0.6248199740725324
0.7	2	3	1	0.0	0.0
0.7	2	3	2	0.16	0.36660605559646714
0.7	2	3	3	0.12	0.43081318457076034
0.7	2	3	4	0.16	0.36660605559646714
0.7	2	3	5	0.18	0.38418745424597095
0.7	2	4	1	0.02	0.13999999999999999
0.7	2	4	2	0.16	0.41761226035642196
0.7	2	4	3	1.28	0.8494704232638121
0.7	2	4	4	1.2	0.9797958971132712
0.7	2	4	5	1.2	0.938083151964686
0.7	2	5	1	0.2	0.6324555320336758
0.7	2	5	2	0.0	0.0
0.7	2	5	3	0.78	0.7011419257183241
0.7	2	5	4	2.2	0.7999999999999999
0.7	2	5	5	2.26	0.9123595782365634
0.7	3	3	1	0.0	0.0
0.7	3	3	2	0.0	0.0
0.7	3	3	3	0.0	0.0
0.7	3	3	4	0.02	0.13999999999999999
0.7	3	3	5	0.0	0.0
0.7	3	4	1	0.0	0.0
0.7	3	4	2	0.0	0.0
0.7	3	4	3	0.22	0.46
0.7	3	4	4	0.12	0.3249615361854384
0.7	3	4	5	0.1	0.3
0.7	3	5	1	0.0	0.0
0.7	3	5	2	0.0	0.0
0.7	3	5	3	0.04	0.19595917942265428
0.7	3	5	4	0.9	0.9219544457292888
0.7	3	5	5	0.82	0.9097252332435327
0.8	1	3	1	0.62	0.6599999999999999
0.8	1	3	2	1.9	1.0630145812734648
0.8	1	3	3	1.78	0.9856977224281286
0.8	1	3	4	1.9	0.9433981132056604
0.8	1	3	5	1.88	0.9303762679690406
0.8	1	4	1	0.16	0.417612260356422
0.8	1	4	2	1.46	0.78
0.8	1	4	3	2.42	0.6954135460285485
0.8	1	4	4	2.44	0.7255342858886822
0.8	1	4	5	2.52	0.574108003776293
0.8	1	5	1	0.0	0.0
0.8	1	5	2	0.38	0.5249761899362675
0.8	1	5	3	1.48	0.7807688518377254
0.8	1	5	4	2.4	0.6324555320336759
0.8	1	5	5	2.66	0.6200000000000001
0.8	2	3	1	0.1	0.412310562561766
0.8	2	3	2	0.26	0.482078831727758
0.8	2	3	3	0.2	0.447213595499958
0.8	2	3	4	0.18	0.5173006862551026
0.8	2	3	5	0.26	0.5219195340279956
0.8	2	4	1	0.02	0.13999999999999999
0.8	2	4	2	0.5	0.6403124237432849
0.8	2	4	3	1.52	0.8997777503361595
0.8	2	4	4	1.52	1.1178550889985697
0.8	2	4	5	1.48	1.0628264204469138
0.8	2	5	1	0.22	0.5015974481593781
0.8	2	5	2	0.08	0.33704599092705434
0.8	2	5	3	1.2	0.692820323027551
0.8	2	5	4	2.3	0.806225774829855
0.8	2	5	5	2.5	0.6403124237432849
0.8	3	3	1	0.0	0.0
0.8	3	3	2	0.02	0.13999999999999999
0.8	3	3	3	0.0	0.0
0.8	3	3	4	0.0	0.0
0.8	3	3	5	0.0	0.0
0.8	3	4	1	0.0	0.0
0.8	3	4	2	0.0	0.0
0.8	3	4	3	0.16	0.41761226035642196
0.8	3	4	4	0.08	0.33704599092705434
0.8	3	4	5	0.16	0.36660605559646714
0.8	3	5	1	0.0	0.0
0.8	3	5	2	0.0	0.0
0.8	3	5	3	0.38	0.6896375859826668
0.8	3	5	4	1.18	0.9314504817756015
0.8	3	5	5	1.18	0.9937806599043876
0.9	1	3	1	1.36	0.7683749084919419
0.9	1	3	2	2.02	0.7345747068882783
0.9	1	3	3	2.04	0.82365041127896
0.9	1	3	4	2.2	0.916515138991168
0.9	1	3	5	2.28	0.7756287771866126
0.9	1	4	1	0.32	0.5455272678794342
0.9	1	4	2	1.62	0.596322060635023
0.9	1	4	3	2.58	0.7236021006050218
0.9	1	4	4	2.48	0.699714227381436
0.9	1	4	5	2.7	0.458257569495584
0.9	1	5	1	0.0	0.0
0.9	1	5	2	0.54	0.5730619512757761
0.9	1	5	3	1.72	0.7756287771866126
0.9	1	5	4	2.58	0.5688585061331156
0.9	1	5	5	2.56	0.5713142742834281
0.9	2	3	1	0.04	0.19595917942265428
0.9	2	3	2	0.24	0.4715930449020639
0.9	2	3	3	0.22	0.41424630354415964
0.9	2	3	4	0.26	0.5589275444992848
0.9	2	3	5	0.14	0.3469870314579494
0.9	2	4	1	0.12	0.43081318457076034
0.9	2	4	2	0.92	0.7166589146867567
0.9	2	4	3	1.6	0.8
0.9	2	4	4	2.12	0.863481325796916
0.9	2	4	5	1.92	0.8908422980528036
0.9	2	5	1	0.26	0.5936328831862332
0.9	2	5	2	0.06	0.31048349392520047
0.9	2	5	3	1.56	0.6374950980203691
0.9	2	5	4	2.56	0.5713142742834281
0.9	2	5	5	2.6	0.6
0.9	3	3	1	0.0	0.0
0.9	3	3	2	0.02	0.13999999999999999
0.9	3	3	3	0.04	0.27999999999999997
0.9	3	3	4	0.02	0.13999999999999999
0.9	3	3	5	0.02	0.13999999999999999
0.9	3	4	1	0.0	0.0
0.9	3	4	2	0.04	0.19595917942265426
0.9	3	4	3	0.14	0.3469870314579494
0.9	3	4	4	0.12	0.3249615361854384
0.9	3	4	5	0.34	0.5868560300448484
0.9	3	5	1	0.0	0.0
0.9	3	5	2	0.0	0.0
0.9	3	5	3	0.76	0.6183849933496123
0.9	3	5	4	1.46	0.9635351576356723
0.9	3	5	5	1.58	1.078702924812944
1.0	1	3	1	1.52	0.72773621594641
1.0	1	3	2	2.26	0.6873136110975833
1.0	1	3	3	2.1	0.8774964387392122
1.0	1	3	4	2.18	0.8411896337925238
1.0	1	3	5	2.42	0.7769169839822013
1.0	1	4	1	0.62	0.6289674077406555
1.0	1	4	2	1.86	0.5660388679233963
1.0	1	4	3	2.68	0.5075431016179808
1.0	1	4	4	2.74	0.5589275444992848
1.0	1	4	5	2.82	0.38418745424597095
1.0	1	5	1	0.02	0.13999999999999999
1.0	1	5	2	1.0	0.6
1.0	1	5	3	2.0	0.5291502622129182
1.0	1	5	4	2.74	0.5219195340279956
1.0	1	5	5	2.64	0.6858571279792899
1.0	2	3	1	0.16	0.41761226035642196
1.0	2	3	2	0.34	0.5868560300448484
1.0	2	3	3	0.2	0.447213595499958
1.0	2	3	4	0.2	0.4
1.0	2	3	5	0.32	0.5075431016179808
1.0	2	4	1	0.1	0.3605551275463989
1.0	2	4	2	1.16	0.9243376006633074
1.0	2	4	3	1.98	0.9053176238205018
1.0	2	4	4	2.1	0.9433981132056604
1.0	2	4	5	2.14	1.02
1.0	2	5	1	0.3	0.806225774829855
1.0	2	5	2	0.34	0.5141984052872977
1.0	2	5	3	1.76	0.6499230723708769
1.0	2	5	4	2.56	0.5713142742834281
1.0	2	5	5	2.62	0.5249761899362675
1.0	3	3	1	0.0	0.0
1.0	3	3	2	0.02	0.13999999999999999
1.0	3	3	3	0.02	0.13999999999999999
1.0	3	3	4	0.0	0.0
1.0	3	3	5	0.02	0.13999999999999999
1.0	3	4	1	0.0	0.0
1.0	3	4	2	0.12	0.3815756805667782
1.0	3	4	3	0.2	0.447213595499958
1.0	3	4	4	0.24	0.47159304490206383
1.0	3	4	5	0.16	0.41761226035642196
1.0	3	5	1	0.04	0.27999999999999997
1.0	3	5	2	0.02	0.13999999999999999
1.0	3	5	3	1.04	0.7989993742175271
1.0	3	5	4	1.56	1.0229369482035537
1.0	3	5	5	1.76	1.049952379872535
